city,latitude,longitude,nearest_distance
Gudow,53.55571,10.77123,14.093778921732575
Gudow,53.58457,10.78822,10.957427477180925
Gudow,53.54129,10.79217,15.770664563923544
Gudow,53.56138,10.80624,13.684695044922085
Gülzow,53.4415,10.49003,6.974279959637871
Güster,53.53959,10.67843,16.97197730518574
Hamfelde,53.59593,10.44833,13.19574987540899
Hamwarde,53.45215,10.42128,3.2942610293066825
Harmsdorf,53.69998,10.72533,3.4738660561495878
Havekost,53.54097,10.47578,13.548719963011234
Hohenhorn,53.47602,10.36742,5.077114785276663
Hollenbek,53.5911,10.81996,10.698943401908608
Hornbek,53.56009,10.64705,15.805479937184018
Horst,53.63859,10.77064,4.878370408940729
Horst,53.61278,10.77302,7.7516416118533265
Juliusburg,53.416,10.50526,7.90495854450521
Kankelau,53.54949,10.56822,17.833234225432978
Kasseburg,53.56687,10.41587,13.155741039927417
Kastorf,53.74856,10.57088,13.267624775091328
Kittlitz,53.66394,10.91519,9.395423073157946
Klein Pampau,53.51199,10.5859,15.99802715684596
Klein Zecher,53.58492,10.88023,13.09174655861519
Klein Zecher,53.58552,10.84893,11.997569935251802
Klein Zecher,53.57733,10.87405,13.587135510552113
Klein Zecher,53.58174,10.89089,13.783895993495232
Klempau,53.76277,10.65963,8.738973250995237
Klinkrade,53.71621,10.55071,14.85240460413346
Koberg,53.62966,10.50059,14.89124613763893
Koberg,53.6338,10.52305,16.241764797434303
Köthel,53.60824,10.51037,16.2233152644908
Kollow,53.47984,10.46498,7.516412061699443
Kollow,53.46363,10.45964,6.068770401031931
Kröppelshagen-Fahrendorf,53.46662,10.34823,4.603591881613971
Kröppelshagen-Fahrendorf,53.48855,10.31592,5.298766182937319
Krüzen,53.40219,10.52723,9.673492855162309
Krukow,53.41968,10.48312,6.3935030154152885
Krummesse,53.77978,10.64306,7.575205905083997
Kuddewörde,53.58695,10.40254,11.490551773813493
Kühsen,53.68194,10.61508,10.137034452549823
Kulpin,53.70915,10.69623,5.636276556427383
Labenz,53.71012,10.5259,15.584615547561535
Langenlehsten,53.49859,10.73962,13.579332584967263
Lankau,53.68744,10.64187,8.390383540827532
Lankau,53.66121,10.67663,6.527229569662047
Lankau,53.66715,10.66607,6.990263385743658
Lankau,53.64956,10.69561,6.062707119834855
Lankau,53.67277,10.63913,8.62142910433684
Lanze,53.38979,10.60703,7.484206031219753
Lauenburg/Elbe,53.37791,10.55175,11.019389092525378
Lehmrade,53.6,10.71681,9.792525036143399
Lehmrade,53.59383,10.75065,9.928266259647858
Linau,53.64459,10.47077,12.642849801191334
Lüchow,53.69025,10.53144,15.66759630371768
Lütau,53.43431,10.54762,10.637665673973897
Mechow,53.71637,10.80683,3.4656339634938087
Möhnsen,53.55968,10.4681,15.252905436560122
Mölln,53.62043,10.68847,8.702368333805087
Mühlenrade,53.59599,10.48771,15.430616547146819
Müssen,53.49476,10.52269,11.483550817379998
Müssen,53.49468,10.56358,13.721406014993537
Mustin,53.68593,10.88408,6.907832033938986
Niendorf bei Berkenthin,53.70275,10.62577,9.696878843143432
Niendorf/Stecknitz,53.58588,10.60828,15.086470711318723
Nusse,53.65761,10.57931,12.797828735780392
Panten,53.64888,10.63586,9.533093443432113
Panten,53.64293,10.61352,11.147160233829513
Panten,53.66443,10.61965,10.039968308183559
Pogeez,53.73062,10.71393,6.25925405925448
Pogeez,53.75039,10.72839,7.528715311143932
Poggensee,53.64133,10.5789,13.334110584058951
Ratzeburg,53.69917,10.77419,1.098961546668703
Ritzerau,53.66282,10.5665,13.516652428588763
Römnitz,53.71124,10.76941,2.4752245920377045
Rondeshagen,53.75374,10.62956,10.50248945027072
Roseburg,53.52927,10.64748,17.544554428650596
Roseburg,53.5309,10.62763,18.109486157794873
Roseburg,53.54226,10.60091,18.831454654283263
Sahms,53.52475,10.53299,14.233733906901037
Salem,53.63014,10.91843,11.310370029010272
Salem,53.64021,10.88319,8.783935716996378
Salem,53.6691,10.80408,2.7462726602520977
Salem,53.65578,10.8252,4.743523825282336
Sandesneben,53.68781,10.49369,14.329262325273914
Schiphorst,53.70821,10.46175,13.015795181382313
Schmilau,53.67833,10.76371,0.5758124528715498
Schmilau,53.67791,10.76056,0.7511539569174477
Schmilau,53.66441,10.7567,2.1636350513599205
Schmilau,53.64584,10.77104,4.073226017976831
Schnakenbek,53.38561,10.50299,8.843035736071382
Schönberg,53.67683,10.43252,10.141555527312354
Schretstaken,53.5854,10.54689,18.19113863131848
Schürensöhlen,53.76337,10.47183,8.947837562961103
Schulendorf,53.47595,10.54326,11.55585808655629
Schulendorf,53.47171,10.56806,12.89001557489432
Schulendorf,53.4731,10.56036,12.468986064888606
Schwarzenbek,53.50347,10.4794,10.125250055750495
Seedorf,53.6026,10.90426,12.58301417877785
Seedorf,53.61868,10.86717,9.599034759776103
Siebenbäumen,53.74917,10.52822,12.887509758108434
Siebeneichen,53.51058,10.61744,16.258675203826197
Sierksrade,53.7363,10.60109,12.568946521344314
Sirksfelde,53.66034,10.47405,12.725235130268747
Sirksfelde,53.66522,10.50934,15.056935980174499
Steinhorst,53.72012,10.48226,12.881259049764559
Sterley,53.63824,10.81525,5.783914868169086
Sterley,53.60677,10.81923,9.043220186358537
Sterley,53.65699,10.8063,3.7486458863688994
Sterley,53.61971,10.8174,7.6710930235180514
Sterley,53.65817,10.8059,3.6328563103526967
Stubben,53.7329,10.43209,9.9158743947197
Talkau,53.57381,10.57061,17.806785715765546
Talkau,53.57567,10.56904,17.743709227550504
Tramm,53.5634,10.61431,16.71291422502917
Walksfelde,53.63273,10.57547,13.899779107949604
Wangelau,53.45433,10.54749,11.015894995780016
Wentorf bei Hamburg,53.49887,10.25024,1.4098832628815594
Wentorf (Amt Sandesneben),53.68274,10.46643,12.457591001902646
Wentorf (Amt Sandesneben),53.67364,10.47313,12.740801670033479
Wiershop,53.45203,10.4469,4.662176809342306
Wiershop,53.44142,10.4523,4.563196780697707
Witzeeze,53.45304,10.61245,10.954793989623274
Witzeeze,53.45131,10.6089,10.960983473601196
Wohltorf,53.51862,10.28079,2.787748012987343
Woltersdorf,53.57778,10.63935,14.44132081651053
Worth,53.46761,10.40947,4.306295036761961
Ziethen,53.69225,10.83811,3.8770413757248567
Ziethen,53.69386,10.81024,2.082314051683351
Achtrup,54.79074,9.02807,11.77624211998258
Ahrenshöft,54.55898,9.06983,8.602052838230474
Ahrenviöl,54.52993,9.206,11.170410967184946
Ahrenviölfeld,54.53334,9.27565,15.377469238741357
Ahrenviölfeld,54.53038,9.30124,16.80106574124605
Alkersum,54.70804,8.5094,4.340800495269267
Almdorf,54.58206,9.01417,11.33540141974763
Arlewatt,54.53874,9.0833,6.602359348333995
Aventoft,54.89961,8.81772,11.985255157524728
Bargum,54.70326,8.9717,12.889396962761431
Bargum,54.69793,9.02081,15.483839571979301
Bargum,54.70421,8.94727,11.869428432248977
Behrendorf,54.56358,9.22257,14.218999159052448
Bohmstedt,54.58072,9.04507,10.940530294539196
Bondelum,54.55937,9.26585,16.173269802731834
Bordelum,54.66476,8.89837,14.666373408362396
Bordelum,54.66962,9.00666,17.219149010705245
Bordelum,54.65297,8.90581,16.05398668266159
Bordelum,54.65173,8.9966,18.493487845267143
Bordelum,54.64825,9.02605,18.513038559481178
Bordelum,54.63828,8.91259,17.7445509888336
Bordelum,54.63195,8.941,18.081141040702292
Bordelum,54.64199,8.9587,18.3181282179754
Bordelum,54.63828,8.91259,17.7445509888336
Bordelum,54.64474,8.94288,17.649278472219002
Bordelum,54.63852,8.92218,17.880867562927836
Bordelum,54.636,8.92878,18.271343942685654
Borgsum,54.70025,8.45897,6.965290018348365
Bosbüll,54.82262,8.86092,3.467034761772441
Braderup,54.83587,8.89134,5.642751577705478
Bramstedtlund,54.84207,9.08492,16.34885472952237
Bredstedt,54.62208,8.96132,16.575794343705144
Breklum,54.60611,8.98314,14.437648647845883
Dagebüll,54.73022,8.71052,10.651641938783001
Dagebüll,54.70813,8.79307,9.988125342925697
Dagebüll,54.69266,8.78125,11.863449787751343
Dagebüll,54.73738,8.74576,8.843417704105885
Dagebüll,54.70251,8.82202,10.156040089269895
Drage,54.36968,9.11905,12.918206478244226
Drage,54.35488,9.15935,15.427936335092097
Drage,54.35976,9.14706,14.601974696087042
Drelsdorf,54.60499,9.04481,13.638362290721446
Dunsum,54.73149,8.41739,10.743337019692474
Elisabeth-Sophien-Koog,54.5105,8.87976,11.495078052040563
Elisabeth-Sophien-Koog,54.5125,8.89409,10.674951541546486
Ellhöft,54.88773,8.95397,12.662375121227724
Fresendelf,54.39325,9.24818,15.728236451546138
Friedrichstadt,54.37548,9.08966,11.814488311382043
Friedrich-Wilhelm-Lübke-Koog,54.8615,8.62943,15.740864115532883
Kirchspiel Garding,54.31702,8.77716,23.533867476223364
Garding,54.32949,8.77912,24.22710405339408
Goldebek,54.67833,9.14609,21.702725448928593
Goldelund,54.67842,9.10832,21.193070021091923
Gröde,54.6316,8.71758,11.52713615042846
Grothusenkoog,54.29844,8.75301,23.83522931274304
Haselund,54.59434,9.18276,15.071169806956926
Hattstedt,54.52607,9.02625,5.114225778857764
Hattstedtermarsch,54.53433,9.02276,6.057450180723688
Högel,54.6432,9.06064,17.8918264606797
Hörnum (Sylt),54.75804,8.28894,18.66728279002743
Holm,54.83101,8.86222,4.385689977122065
Hallig Hooge,54.56885,8.54637,12.987511273351558
Horstedt,54.52574,9.06653,4.922607960076846
Horstedt,54.50633,9.09422,3.838995347802216
Hude,54.38803,9.2148,14.488042276132163
Humptrup,54.86478,8.86478,8.095548935558545
Husum,54.48173,9.05529,0.2073904546490438
Husum,54.50714,9.00929,3.8535285431274393
Immenstedt,54.53899,9.16278,9.524420381367962
Joldelund,54.64975,9.13744,19.424802577857182
Kampen (Sylt),54.98762,8.36423,7.647086134115668
Kampen (Sylt),54.95365,8.34396,3.702405960160426
